learning times,layer,node,learning rate,gene number
20000,3,100 100 10,0.01,1
20000,3,100 100 50,0.01,1
20000,3,100 100 100,0.01,1
20000,3,200 100 10,0.01,1
20000,3,200 200 50,0.01,1
20000,4,100 100 50 10,0.01,1
20000,4,100 100 10 50,0.01,1
20000,4,100 100 100 100,0.01,1
20000,4,200 100 50 10,0.01,1
20000,4,200 200 50 10,0.01,1
20000,3,100 100 10,0.01,10
20000,3,100 100 50,0.01,10
20000,3,100 100 100,0.01,10
20000,3,200 100 10,0.01,10
20000,3,200 200 50,0.01,10
20000,4,100 100 50 10,0.01,10
20000,4,100 100 10 50,0.01,10
20000,4,100 100 100 100,0.01,10
20000,4,200 100 50 10,0.01,10
20000,4,200 200 50 10,0.01,10